Date,Open,High,Low,Close,Adj Close,Volume
2022-01-13,821.000000,828.000000,817.400024,824.700012,824.700012,9372244
2022-01-14,821.000000,822.000000,811.599976,820.000000,820.000000,7552844
2022-01-17,820.000000,828.900024,814.549988,819.299988,819.299988,6722700
2022-01-18,821.000000,836.000000,818.200012,823.099976,823.099976,10835146
2022-01-19,816.000000,821.000000,803.250000,808.599976,808.599976,16416144
2022-01-20,803.000000,812.950012,795.400024,810.250000,810.250000,13567654
2022-01-21,803.000000,811.349976,795.500000,804.500000,804.500000,12078277
2022-01-24,813.000000,816.700012,783.299988,798.450012,798.450012,29612316
2022-01-25,789.000000,804.299988,786.049988,801.650024,801.650024,19513184
2022-01-27,786.900024,801.500000,781.049988,794.650024,794.650024,23984679
2022-01-28,803.750000,805.849976,778.500000,781.150024,781.150024,14072314
2022-01-31,788.950012,798.700012,784.000000,788.799988,788.799988,14824509
2022-02-01,802.049988,812.849976,789.299988,810.299988,810.299988,20031583
2022-02-02,815.000000,818.700012,808.849976,813.750000,813.750000,11214375
2022-02-03,814.049988,818.400024,806.000000,808.950012,808.950012,9755335
2022-02-04,809.799988,812.000000,795.799988,805.049988,805.049988,10314067
2022-02-07,798.049988,805.000000,781.450012,786.400024,786.400024,14659368
2022-02-08,790.000000,795.700012,774.299988,792.500000,792.500000,14642455
2022-02-09,797.250000,804.250000,794.200012,802.799988,802.799988,8855292
2022-02-10,805.950012,808.799988,796.299988,805.500000,805.500000,13159771
2022-02-11,796.849976,797.400024,787.900024,790.799988,790.799988,13138408
2022-02-14,772.000000,773.950012,751.150024,753.700012,753.700012,16170656
2022-02-15,752.950012,778.000000,743.200012,776.049988,776.049988,18880659
2022-02-16,775.700012,777.549988,760.400024,764.049988,764.049988,10549784
2022-02-17,766.500000,767.250000,746.299988,750.349976,750.349976,16683808
2022-02-18,746.849976,756.799988,745.549988,748.900024,748.900024,8945567
2022-02-21,746.250000,762.900024,740.000000,754.450012,754.450012,10967164
2022-02-22,738.400024,759.750000,737.750000,751.299988,751.299988,13156371
2022-02-23,754.599976,756.400024,742.700012,744.599976,744.599976,11624282
2022-02-24,712.900024,727.099976,702.299988,707.400024,707.400024,28023104
2022-02-25,724.950012,739.299988,720.250000,730.049988,730.049988,16935750
2022-02-28,722.950012,744.750000,715.400024,742.700012,742.700012,20547432
2022-03-02,717.000000,724.950012,707.750000,714.849976,714.849976,25252492
2022-03-03,717.599976,721.950012,693.450012,698.299988,698.299988,23190595
2022-03-04,691.000000,706.549988,685.000000,688.049988,688.049988,18697223
2022-03-07,663.500000,667.000000,642.150024,653.750000,653.750000,27799873
2022-03-08,643.299988,669.450012,643.000000,665.000000,665.000000,26716975
2022-03-09,664.700012,674.500000,658.000000,667.450012,667.450012,33728639
2022-03-10,693.950012,701.000000,673.650024,676.599976,676.599976,35959638
2022-03-11,674.650024,684.700012,670.599976,677.900024,677.900024,20546724
2022-03-14,678.099976,698.450012,677.250000,696.150024,696.150024,24648981
2022-03-15,701.500000,708.099976,688.000000,697.349976,697.349976,27714580
2022-03-16,706.900024,711.400024,701.250000,708.000000,708.000000,14621688
2022-03-17,717.799988,725.000000,716.200012,720.099976,720.099976,18329844
2022-03-21,721.000000,722.900024,705.500000,710.750000,710.750000,12866839
2022-03-22,708.650024,721.000000,699.500000,718.200012,718.200012,11761758
2022-03-23,725.000000,726.799988,714.250000,718.299988,718.299988,7140403
2022-03-24,702.450012,712.700012,698.000000,704.200012,704.200012,17727969
2022-03-25,705.000000,706.099976,696.650024,699.250000,699.250000,15263007
2022-03-28,702.000000,713.400024,695.650024,710.349976,710.349976,13806166
2022-03-29,714.299988,716.950012,705.849976,715.299988,715.299988,11489374
2022-03-30,721.049988,731.750000,719.099976,730.900024,730.900024,20154520
2022-03-31,739.900024,739.900024,727.799988,730.299988,730.299988,16046383
2022-04-01,725.000000,738.299988,723.099976,736.250000,736.250000,12658848
2022-04-04,742.000000,749.799988,725.000000,746.599976,746.599976,17192197
2022-04-05,746.799988,755.450012,738.000000,741.799988,741.799988,12290391
2022-04-06,732.299988,744.900024,732.099976,741.599976,741.599976,13518142
2022-04-07,737.099976,757.799988,737.099976,748.549988,748.549988,15087175
2022-04-08,749.849976,756.000000,743.599976,754.299988,754.299988,15480705
2022-04-11,752.299988,765.450012,751.650024,759.599976,759.599976,13216391
2022-04-12,757.000000,768.900024,750.250000,763.849976,763.849976,14020000
2022-04-13,769.599976,772.549988,760.700012,762.250000,762.250000,16119956
2022-04-18,751.000000,762.900024,749.200012,757.799988,757.799988,17651530
2022-04-19,761.799988,777.900024,757.000000,766.299988,766.299988,31088359
2022-04-20,766.799988,770.000000,753.799988,755.549988,755.549988,15984202
2022-04-21,759.049988,764.200012,751.200012,762.349976,762.349976,8953098
2022-04-22,757.000000,758.849976,745.900024,747.650024,747.650024,14411607
2022-04-25,747.650024,762.200012,744.000000,752.200012,752.200012,35417460
2022-04-26,768.000000,768.549988,751.650024,753.750000,753.750000,18727514
2022-04-27,749.000000,750.000000,732.549988,736.700012,736.700012,21441480
2022-04-28,739.099976,751.900024,734.650024,747.150024,747.150024,18649559
2022-04-29,750.099976,759.950012,740.099976,743.299988,743.299988,19560317
2022-05-02,732.000000,743.799988,731.099976,741.000000,741.000000,10903446
2022-05-04,746.200012,747.000000,721.150024,724.250000,724.250000,12212165
2022-05-05,730.799988,743.000000,726.500000,728.799988,728.799988,9121547
2022-05-06,716.250000,723.000000,710.299988,719.250000,719.250000,12455025
2022-05-09,705.299988,720.000000,704.450012,710.349976,710.349976,13055889
2022-05-10,705.000000,720.000000,705.000000,711.299988,711.299988,12797419
2022-05-11,718.000000,719.799988,707.150024,714.200012,714.200012,13516852
2022-05-12,707.549988,710.700012,693.299988,695.799988,695.799988,16685166
2022-05-13,702.400024,702.400024,675.000000,677.349976,677.349976,15717043
2022-05-16,676.700012,690.950012,675.750000,683.000000,683.000000,9025623
2022-05-17,686.099976,712.000000,685.150024,710.000000,710.000000,12765052
2022-05-18,712.349976,717.000000,706.099976,707.349976,707.349976,11835013
2022-05-19,693.099976,698.700012,685.599976,690.299988,690.299988,16661023
2022-05-20,694.799988,711.900024,693.700012,709.549988,709.549988,11695528
2022-05-23,709.549988,725.950012,707.450012,711.049988,711.049988,17438451
2022-05-24,711.049988,717.349976,706.049988,708.150024,708.150024,13779981
2022-05-25,712.049988,720.849976,711.599976,713.349976,713.349976,10457589
2022-05-26,723.000000,733.000000,715.450012,728.500000,728.500000,14028733
2022-05-27,733.549988,741.200012,731.250000,739.799988,739.799988,8110620
2022-05-30,748.750000,751.950012,744.299988,748.500000,748.500000,7628515
2022-05-31,741.000000,756.700012,740.500000,752.849976,752.849976,20272212
2022-06-01,748.000000,755.599976,744.200012,752.650024,752.650024,10102092
2022-06-02,751.049988,751.750000,743.200012,749.750000,749.750000,10949759
2022-06-03,756.150024,757.000000,741.200012,744.299988,744.299988,8563791
2022-06-06,740.200012,750.950012,739.599976,746.750000,746.750000,9107831
2022-06-07,741.000000,742.950012,732.349976,735.250000,735.250000,9938912
2022-06-08,736.599976,741.000000,726.450012,729.500000,729.500000,9369224
2022-06-09,725.000000,734.099976,722.150024,732.750000,732.750000,7444368
2022-06-10,724.750000,728.299988,718.000000,720.000000,720.000000,7990818
2022-06-13,702.250000,702.299988,682.099976,688.000000,688.000000,16622521
2022-06-14,682.400024,694.650024,680.650024,685.500000,685.500000,13348598
2022-06-15,687.500000,696.349976,686.099976,687.250000,687.250000,9199591
2022-06-16,700.000000,700.049988,676.299988,678.500000,678.500000,13237239
2022-06-17,671.250000,692.650024,669.950012,686.849976,686.849976,16335613
2022-06-20,686.000000,687.799988,677.599976,685.950012,685.950012,10981042
2022-06-21,690.549988,708.000000,688.599976,696.099976,696.099976,13319648
2022-06-22,694.250000,698.900024,685.099976,686.599976,686.599976,6838249
2022-06-23,690.200012,706.000000,687.000000,699.150024,699.150024,14960412
2022-06-24,710.900024,715.250000,706.549988,713.450012,713.450012,10856736
2022-06-27,728.849976,728.849976,716.099976,717.349976,717.349976,8285225
2022-06-28,711.049988,717.299988,707.000000,710.299988,710.299988,8339931
2022-06-29,704.950012,706.700012,700.950012,702.750000,702.750000,9570557
2022-06-30,702.750000,711.900024,701.200012,707.200012,707.200012,11970404
2022-07-01,703.450012,706.750000,694.099976,703.900024,703.900024,9884899
2022-07-04,704.849976,721.099976,704.849976,720.099976,720.099976,8303732
2022-07-05,723.049988,732.150024,718.099976,719.450012,719.450012,11460367
2022-07-06,723.000000,731.900024,722.000000,725.950012,725.950012,12163533
2022-07-07,735.950012,744.000000,733.000000,742.000000,742.000000,10374018
2022-07-08,751.299988,757.500000,744.549988,755.700012,755.700012,9797700
2022-07-11,755.000000,771.549988,755.000000,769.500000,769.500000,12440573
2022-07-12,765.349976,767.450012,757.700012,759.900024,759.900024,10219829
2022-07-13,764.750000,764.750000,749.900024,753.200012,753.200012,8674121
2022-07-14,750.000000,759.500000,748.799988,752.400024,752.400024,7044542
2022-07-15,753.250000,759.000000,744.200012,751.200012,751.200012,6358018
2022-07-18,759.250000,773.150024,757.849976,772.000000,772.000000,8045363
2022-07-19,767.799988,782.000000,767.150024,780.650024,780.650024,12825591
2022-07-20,789.500000,789.549988,780.299988,783.099976,783.099976,8152179
2022-07-21,784.900024,788.950012,780.099976,786.000000,786.000000,8312338
2022-07-22,789.099976,803.900024,789.099976,800.049988,800.049988,12267898
2022-07-25,803.000000,817.799988,797.099976,800.900024,800.900024,21034148
2022-07-26,801.599976,802.799988,791.650024,796.299988,796.299988,7374145
2022-07-27,795.000000,803.799988,794.650024,800.500000,800.500000,9536564
